original,after
"[356, 380, 2233.0]","[0.034446764091857984, 4.346571428571428, -0.6200000000000001]"
"[337, 373, 2026.0]","[-0.05281837160751568, 3.696000000000001, -0.585]"
"[339, 368, 2007.0]","[-0.04363256784968694, 3.6362857142857146, -0.56]"
"[341, 361, 2058.0]","[-0.034446764091857984, 3.7965714285714287, -0.5250000000000001]"
"[344, 356, 2028.0]","[-0.02066805845511488, 3.7022857142857144, -0.5]"
"[362, 351, 2011.0]","[0.062004175365344416, 3.648857142857143, -0.4750000000000001]"
"[349, 347, 2011.0]","[0.002296450939457184, 3.648857142857143, -0.45500000000000007]"
"[370, 333, 1913.0]","[0.09874739039665958, 3.340857142857143, -0.38500000000000023]"
"[369, 330, 1863.0]","[0.09415448851774522, 3.1837142857142857, -0.3700000000000001]"
"[371, 329, 1801.0]","[0.10334029227557395, 2.988857142857143, -0.365]"
"[373, 331, 1769.0]","[0.11252609603340291, 2.888285714285715, -0.375]"
"[377, 338, 1710.0]","[0.13089770354906038, 2.7028571428571433, -0.41000000000000014]"
"[382, 344, 1675.0]","[0.15386221294363267, 2.592857142857143, -0.43999999999999995]"
"[386, 348, 1640.0]","[0.17223382045929037, 2.482857142857143, -0.45999999999999996]"
"[392, 355, 1648.0]","[0.1997912317327768, 2.508, -0.4949999999999999]"
"[391, 352, 1635.0]","[0.1951983298538622, 2.4671428571428575, -0.48]"
"[395, 357, 1587.0]","[0.2135699373695199, 2.3162857142857147, -0.5049999999999999]"
"[397, 359, 1573.0]","[0.22275574112734864, 2.2722857142857147, -0.5150000000000001]"
"[399, 365, 1548.0]","[0.2319415448851776, 2.193714285714286, -0.5449999999999999]"
"[403, 369, 1513.0]","[0.25031315240083507, 2.0837142857142856, -0.5650000000000002]"
"[406, 374, 1491.0]","[0.2640918580375784, 2.0145714285714287, -0.5900000000000001]"
"[408, 377, 1458.0]","[0.27327766179540713, 1.910857142857143, -0.6050000000000002]"
"[410, 379, 1452.0]","[0.28246346555323587, 1.8920000000000003, -0.615]"
"[412, 380, 1438.0]","[0.29164926931106483, 1.8480000000000003, -0.6200000000000001]"
"[413, 380, 1412.0]","[0.2962421711899792, 1.7662857142857145, -0.6200000000000001]"
"[415, 380, 1400.0]","[0.30542797494780793, 1.728571428571429, -0.6200000000000001]"
"[418, 377, 1370.0]","[0.31920668058455104, 1.6342857142857143, -0.6050000000000002]"
"[421, 375, 1361.0]","[0.33298538622129437, 1.6059999999999999, -0.5950000000000002]"
"[427, 370, 1341.0]","[0.3605427974947808, 1.5431428571428576, -0.5699999999999998]"
"[430, 367, 1320.0]","[0.3743215031315239, 1.4771428571428573, -0.5550000000000002]"
"[433, 363, 1316.0]","[0.38810020876826723, 1.4645714285714289, -0.5349999999999999]"
"[439, 355, 1292.0]","[0.4156576200417539, 1.3891428571428572, -0.4949999999999999]"
"[444, 351, 1282.0]","[0.4386221294363257, 1.357714285714286, -0.4750000000000001]"
"[448, 341, 1262.0]","[0.4569937369519834, 1.294857142857143, -0.42500000000000004]"
"[453, 335, 1234.0]","[0.4799582463465555, 1.2068571428571429, -0.395]"
"[454, 332, 1232.0]","[0.48455114822546985, 1.200571428571429, -0.3800000000000001]"
"[456, 324, 1211.0]","[0.4937369519832986, 1.1345714285714288, -0.3400000000000001]"
"[457, 322, 1203.0]","[0.49832985386221296, 1.1094285714285714, -0.33000000000000007]"
"[460, 316, 1183.0]","[0.5121085594989563, 1.0465714285714287, -0.30000000000000004]"
"[460, 314, 1175.0]","[0.5121085594989563, 1.0214285714285714, -0.29000000000000004]"
"[462, 311, 1159.0]","[0.521294363256785, 0.9711428571428571, -0.2749999999999999]"
"[462, 310, 1150.0]","[0.521294363256785, 0.9428571428571431, -0.27]"
"[463, 308, 1140.0]","[0.5258872651356994, 0.9114285714285715, -0.26]"
"[465, 305, 1114.0]","[0.5350730688935283, 0.8297142857142856, -0.24499999999999988]"
"[465, 304, 1103.0]","[0.5350730688935283, 0.7951428571428572, -0.24]"
"[467, 303, 1089.0]","[0.5442588726513571, 0.7511428571428571, -0.2350000000000001]"
"[469, 303, 1068.0]","[0.5534446764091858, 0.685142857142857, -0.2350000000000001]"
"[471, 303, 1046.0]","[0.5626304801670146, 0.6160000000000001, -0.2350000000000001]"
"[471, 304, 1035.0]","[0.5626304801670146, 0.5814285714285714, -0.24]"
"[472, 305, 1012.0]","[0.5672233820459291, 0.5091428571428571, -0.24499999999999988]"
"[472, 306, 999.0]","[0.5672233820459291, 0.4682857142857144, -0.25]"
"[473, 306, 981.0]","[0.5718162839248435, 0.4117142857142857, -0.25]"
"[472, 307, 975.0]","[0.5672233820459291, 0.392857142857143, -0.2550000000000001]"
"[473, 309, 938.0]","[0.5718162839248435, 0.27657142857142847, -0.2650000000000001]"
"[473, 309, 937.0]","[0.5718162839248435, 0.2734285714285716, -0.2650000000000001]"
"[473, 311, 932.0]","[0.5718162839248435, 0.25771428571428556, -0.2749999999999999]"
"[495, 395, 46785.0]","[0.6728601252609603, 144.36714285714285, -0.6950000000000001]"
"[503, 396, 65535.0]","[0.7096033402922757, 203.2957142857143, -0.7000000000000002]"
"[526, 392, 65535.0]","[0.815240083507307, 203.2957142857143, -0.6799999999999999]"
"[569, 267, 16652.0]","[1.0127348643006262, 49.663428571428575, -0.05500000000000016]"
"[572, 258, 22586.0]","[1.0265135699373698, 68.31314285714286, -0.010000000000000009]"
"[626, 232, 1452.0]","[1.2745302713987474, 1.8920000000000003, 0.12]"
"[627, 232, 1476.0]","[1.2791231732776618, 1.9674285714285715, 0.12]"
"[630, 232, 1598.0]","[1.292901878914405, 2.350857142857143, 0.12]"
"[646, 227, 65535.0]","[1.3663883089770352, 203.2957142857143, 0.14500000000000002]"
"[659, 227, 1712.0]","[1.426096033402923, 2.7091428571428575, 0.14500000000000002]"
"[661, 226, 1710.0]","[1.4352818371607516, 2.7028571428571433, 0.15000000000000002]"
"[664, 226, 1736.0]","[1.4490605427974952, 2.784571428571429, 0.15000000000000002]"
"[667, 226, 1745.0]","[1.4628392484342383, 2.8128571428571427, 0.15000000000000002]"
"[669, 226, 1744.0]","[1.472025052192067, 2.809714285714286, 0.15000000000000002]"
"[672, 226, 1770.0]","[1.4858037578288101, 2.8914285714285715, 0.15000000000000002]"
"[673, 225, 1773.0]","[1.4903966597077245, 2.900857142857143, 0.15500000000000003]"
"[676, 225, 1778.0]","[1.504175365344468, 2.916571428571429, 0.15500000000000003]"
"[677, 224, 1783.0]","[1.5087682672233824, 2.932285714285715, 0.16000000000000003]"
"[680, 224, 1775.0]","[1.5225469728601255, 2.907142857142857, 0.16000000000000003]"
"[681, 224, 1778.0]","[1.52713987473904, 2.916571428571429, 0.16000000000000003]"
"[683, 224, 1791.0]","[1.5363256784968686, 2.9574285714285717, 0.16000000000000003]"
"[686, 223, 1775.0]","[1.5501043841336117, 2.907142857142857, 0.16500000000000004]"
"[687, 224, 1798.0]","[1.554697286012526, 2.979428571428572, 0.16000000000000003]"
"[689, 223, 1803.0]","[1.5638830897703553, 2.995142857142857, 0.16500000000000004]"
"[690, 223, 1819.0]","[1.5684759916492697, 3.045428571428572, 0.16500000000000004]"
"[692, 224, 1840.0]","[1.5776617954070984, 3.1114285714285717, 0.16000000000000003]"
"[693, 225, 1842.0]","[1.5822546972860128, 3.117714285714286, 0.15500000000000003]"
"[694, 225, 1836.0]","[1.5868475991649271, 3.098857142857143, 0.15500000000000003]"
"[694, 225, 1842.0]","[1.5868475991649271, 3.117714285714286, 0.15500000000000003]"
"[695, 226, 1843.0]","[1.5914405010438415, 3.1208571428571434, 0.15000000000000002]"
"[696, 226, 1852.0]","[1.5960334029227559, 3.149142857142858, 0.15000000000000002]"
"[697, 226, 1845.0]","[1.6006263048016702, 3.1271428571428577, 0.15000000000000002]"
"[697, 227, 1855.0]","[1.6006263048016702, 3.158571428571429, 0.14500000000000002]"
"[697, 227, 1857.0]","[1.6006263048016702, 3.164857142857143, 0.14500000000000002]"
"[698, 226, 1861.0]","[1.6052192066805846, 3.1774285714285715, 0.15000000000000002]"
"[698, 226, 1849.0]","[1.6052192066805846, 3.139714285714286, 0.15000000000000002]"
"[698, 226, 1849.0]","[1.6052192066805846, 3.139714285714286, 0.15000000000000002]"
"[698, 226, 1842.0]","[1.6052192066805846, 3.117714285714286, 0.15000000000000002]"
"[697, 225, 1843.0]","[1.6006263048016702, 3.1208571428571434, 0.15500000000000003]"
"[696, 226, 1840.0]","[1.5960334029227559, 3.1114285714285717, 0.15000000000000002]"
"[695, 226, 1836.0]","[1.5914405010438415, 3.098857142857143, 0.15000000000000002]"
"[694, 226, 1836.0]","[1.5868475991649271, 3.098857142857143, 0.15000000000000002]"
"[693, 226, 1849.0]","[1.5822546972860128, 3.139714285714286, 0.15000000000000002]"
"[693, 226, 1849.0]","[1.5822546972860128, 3.139714285714286, 0.15000000000000002]"
"[693, 226, 1854.0]","[1.5822546972860128, 3.155428571428572, 0.15000000000000002]"
"[693, 227, 1854.0]","[1.5822546972860128, 3.155428571428572, 0.14500000000000002]"
"[693, 227, 1849.0]","[1.5822546972860128, 3.139714285714286, 0.14500000000000002]"
"[693, 226, 1849.0]","[1.5822546972860128, 3.139714285714286, 0.15000000000000002]"
"[692, 227, 1838.0]","[1.5776617954070984, 3.1051428571428574, 0.14500000000000002]"
"[692, 227, 1836.0]","[1.5776617954070984, 3.098857142857143, 0.14500000000000002]"
"[691, 227, 1831.0]","[1.573068893528184, 3.083142857142857, 0.14500000000000002]"
"[689, 229, 1830.0]","[1.5638830897703553, 3.0799999999999996, 0.135]"
"[687, 230, 1831.0]","[1.554697286012526, 3.083142857142857, 0.13]"
"[685, 231, 1826.0]","[1.5455114822546974, 3.067428571428572, 0.125]"
"[684, 231, 1801.0]","[1.540918580375783, 2.988857142857143, 0.125]"
"[678, 234, 1794.0]","[1.5133611691022968, 2.9668571428571426, 0.10999999999999999]"
"[676, 235, 1801.0]","[1.504175365344468, 2.988857142857143, 0.10499999999999998]"
"[673, 236, 1783.0]","[1.4903966597077245, 2.932285714285715, 0.10000000000000009]"
"[670, 238, 1793.0]","[1.4766179540709814, 2.963714285714286, 0.09000000000000008]"
"[666, 239, 1767.0]","[1.458246346555324, 2.8820000000000006, 0.08499999999999996]"
"[662, 240, 1794.0]","[1.4398747390396665, 2.9668571428571426, 0.08000000000000007]"
"[661, 241, 1750.0]","[1.4352818371607516, 2.828571428571429, 0.07499999999999996]"
"[654, 258, 1640.0]","[1.403131524008351, 2.482857142857143, -0.010000000000000009]"
"[660, 270, 1623.0]","[1.4306889352818373, 2.4294285714285717, -0.07000000000000006]"
"[665, 279, 1611.0]","[1.4536534446764096, 2.391714285714286, -0.11499999999999999]"
"[689, 323, 1582.0]","[1.5638830897703553, 2.300571428571429, -0.33499999999999996]"
"[690, 334, 1544.0]","[1.5684759916492697, 2.181142857142857, -0.3899999999999999]"
"[688, 333, 1550.0]","[1.559290187891441, 2.2, -0.38500000000000023]"
"[719, 443, 1585.0]","[1.7016701461377872, 2.3100000000000005, -0.935]"
"[719, 461, 1487.0]","[1.7016701461377872, 2.002, -1.0250000000000004]"
"[719, 487, 1566.0]","[1.7016701461377872, 2.2502857142857144, -1.1549999999999998]"
"[719, 480, 1412.0]","[1.7016701461377872, 1.7662857142857145, -1.12]"
"[718, 497, 1381.0]","[1.6970772442588729, 1.668857142857143, -1.205]"
"[716, 505, 1368.0]","[1.6878914405010441, 1.6280000000000001, -1.245]"
"[711, 510, 1348.0]","[1.6649269311064718, 1.5651428571428574, -1.2700000000000005]"
"[700, 519, 1312.0]","[1.6144050104384133, 1.452, -1.315]"
"[691, 524, 1296.0]","[1.573068893528184, 1.4017142857142861, -1.3400000000000003]"
"[674, 533, 1262.0]","[1.4949895615866389, 1.294857142857143, -1.3850000000000002]"
"[663, 534, 1235.0]","[1.4444676409185808, 1.2100000000000004, -1.3900000000000001]"
"[650, 535, 1229.0]","[1.3847599164926936, 1.1911428571428573, -1.395]"
"[631, 539, 1192.0]","[1.2974947807933193, 1.0748571428571427, -1.415]"
"[618, 537, 1184.0]","[1.237787056367432, 1.0497142857142858, -1.4050000000000002]"
"[537, 577, 939.0]","[0.8657620041753653, 0.2797142857142856, -1.605]"
"[532, 587, 908.0]","[0.8427974947807935, 0.18228571428571438, -1.6549999999999998]"
"[507, 596, 1090.0]","[0.7279749478079334, 0.7542857142857144, -1.7000000000000002]"
"[462, 638, 840.0]","[0.521294363256785, -0.03142857142857136, -1.9100000000000001]"
"[457, 627, 826.0]","[0.49832985386221296, -0.0754285714285714, -1.8550000000000004]"
"[458, 617, 833.0]","[0.5029227557411273, -0.05342857142857138, -1.8050000000000002]"
"[451, 589, 896.0]","[0.4707724425887265, 0.14457142857142857, -1.665]"
"[455, 574, 902.0]","[0.4891440501043842, 0.16342857142857148, -1.5899999999999999]"
"[457, 542, 916.0]","[0.49832985386221296, 0.20742857142857152, -1.4299999999999997]"
"[462, 526, 949.0]","[0.521294363256785, 0.31114285714285717, -1.35]"
"[466, 517, 945.0]","[0.5396659707724427, 0.2985714285714285, -1.3050000000000002]"
"[472, 512, 956.0]","[0.5672233820459291, 0.3331428571428572, -1.2800000000000002]"
"[490, 487, 980.0]","[0.6498956158663882, 0.4085714285714286, -1.1549999999999998]"
"[492, 486, 982.0]","[0.6590814196242172, 0.41485714285714304, -1.15]"
"[494, 487, 984.0]","[0.6682672233820459, 0.42114285714285704, -1.1549999999999998]"
"[495, 487, 979.0]","[0.6728601252609603, 0.40542857142857147, -1.1549999999999998]"
"[497, 489, 966.0]","[0.682045929018789, 0.36457142857142855, -1.165]"
"[498, 490, 962.0]","[0.6866388308977034, 0.3520000000000001, -1.17]"
"[502, 491, 957.0]","[0.7050104384133613, 0.3362857142857143, -1.1750000000000003]"
"[503, 491, 946.0]","[0.7096033402922757, 0.3017142857142856, -1.1750000000000003]"
"[505, 491, 949.0]","[0.7187891440501046, 0.31114285714285717, -1.1750000000000003]"
"[507, 492, 951.0]","[0.7279749478079334, 0.3174285714285714, -1.1800000000000002]"
"[508, 492, 947.0]","[0.7325678496868477, 0.30485714285714294, -1.1800000000000002]"
"[511, 491, 931.0]","[0.7463465553235908, 0.25457142857142867, -1.1750000000000003]"
"[511, 491, 937.0]","[0.7463465553235908, 0.2734285714285716, -1.1750000000000003]"
"[514, 491, 942.0]","[0.7601252609603342, 0.28914285714285715, -1.1750000000000003]"
"[514, 491, 945.0]","[0.7601252609603342, 0.2985714285714285, -1.1750000000000003]"
"[514, 491, 946.0]","[0.7601252609603342, 0.3017142857142856, -1.1750000000000003]"
"[514, 491, 940.0]","[0.7601252609603342, 0.2828571428571429, -1.1750000000000003]"
"[514, 492, 938.0]","[0.7601252609603342, 0.27657142857142847, -1.1800000000000002]"
"[513, 492, 939.0]","[0.7555323590814198, 0.2797142857142856, -1.1800000000000002]"
"[512, 493, 942.0]","[0.7509394572025054, 0.28914285714285715, -1.185]"
"[512, 493, 942.0]","[0.7509394572025054, 0.28914285714285715, -1.185]"
"[511, 492, 952.0]","[0.7463465553235908, 0.3205714285714285, -1.1800000000000002]"
"[509, 492, 952.0]","[0.7371607515657621, 0.3205714285714285, -1.1800000000000002]"
"[509, 491, 937.0]","[0.7371607515657621, 0.2734285714285716, -1.1750000000000003]"
"[509, 491, 947.0]","[0.7371607515657621, 0.30485714285714294, -1.1750000000000003]"
"[508, 490, 954.0]","[0.7325678496868477, 0.32685714285714296, -1.17]"
"[507, 490, 963.0]","[0.7279749478079334, 0.3551428571428572, -1.17]"
"[506, 489, 967.0]","[0.723382045929019, 0.36771428571428566, -1.165]"
"[507, 490, 957.0]","[0.7279749478079334, 0.3362857142857143, -1.17]"
"[505, 489, 963.0]","[0.7187891440501046, 0.3551428571428572, -1.165]"
"[504, 490, 976.0]","[0.71419624217119, 0.39600000000000013, -1.17]"
"[503, 489, 970.0]","[0.7096033402922757, 0.377142857142857, -1.165]"
"[503, 488, 975.0]","[0.7096033402922757, 0.392857142857143, -1.1600000000000001]"
"[500, 486, 996.0]","[0.6958246346555326, 0.45885714285714285, -1.15]"
"[499, 486, 999.0]","[0.6912317327766182, 0.4682857142857144, -1.15]"
"[498, 485, 1009.0]","[0.6866388308977034, 0.49971428571428556, -1.145]"
"[496, 483, 1014.0]","[0.6774530271398747, 0.5154285714285716, -1.1350000000000002]"
"[494, 482, 1018.0]","[0.6682672233820459, 0.528, -1.1300000000000003]"
"[489, 479, 1031.0]","[0.6453027139874739, 0.568857142857143, -1.1150000000000002]"
"[489, 478, 1022.0]","[0.6453027139874739, 0.5405714285714285, -1.1100000000000003]"
"[481, 476, 1050.0]","[0.6085594989561587, 0.6285714285714286, -1.1]"
"[478, 475, 1031.0]","[0.5947807933194154, 0.568857142857143, -1.0950000000000002]"
"[470, 472, 1034.0]","[0.5580375782881002, 0.5782857142857145, -1.08]"
"[431, 468, 1062.0]","[0.37891440501043827, 0.6662857142857144, -1.06]"
"[425, 468, 1083.0]","[0.35135699373695184, 0.7322857142857144, -1.06]"
"[414, 467, 1101.0]","[0.30083507306889357, 0.7888571428571429, -1.0550000000000002]"
"[398, 464, 1091.0]","[0.227348643006263, 0.7574285714285716, -1.04]"
"[388, 461, 1131.0]","[0.1814196242171191, 0.8831428571428572, -1.0250000000000004]"
"[384, 460, 1166.0]","[0.1630480167014614, 0.9931428571428573, -1.02]"
"[380, 460, 1190.0]","[0.14467640918580393, 1.068571428571429, -1.02]"
"[379, 459, 1220.0]","[0.14008350730688957, 1.1628571428571428, -1.0150000000000001]"
"[378, 457, 1250.0]","[0.13549060542797475, 1.2571428571428571, -1.005]"
"[379, 456, 1283.0]","[0.14008350730688957, 1.3608571428571428, -1.0]"
"[380, 455, 1300.0]","[0.14467640918580393, 1.4142857142857141, -0.9950000000000001]"
"[384, 453, 1347.0]","[0.1630480167014614, 1.5619999999999998, -0.9850000000000003]"
"[385, 452, 1370.0]","[0.16764091858037578, 1.6342857142857143, -0.98]"
"[391, 449, 1407.0]","[0.1951983298538622, 1.750571428571429, -0.9649999999999999]"
"[393, 448, 1419.0]","[0.20438413361169117, 1.7882857142857147, -0.96]"
"[400, 448, 1457.0]","[0.23653444676409197, 1.907714285714286, -0.96]"
"[401, 448, 1474.0]","[0.24112734864300633, 1.9611428571428573, -0.96]"
"[403, 448, 1485.0]","[0.25031315240083507, 1.995714285714286, -0.96]"
"[408, 448, 1505.0]","[0.27327766179540713, 2.0585714285714287, -0.96]"
"[409, 449, 1512.0]","[0.2778705636743215, 2.080571428571429, -0.9649999999999999]"
"[412, 450, 1527.0]","[0.29164926931106483, 2.1277142857142857, -0.9700000000000002]"
"[414, 451, 1555.0]","[0.30083507306889357, 2.2157142857142857, -0.9750000000000001]"
"[415, 451, 1552.0]","[0.30542797494780793, 2.2062857142857144, -0.9750000000000001]"
"[417, 452, 1551.0]","[0.31461377870563667, 2.2031428571428573, -0.98]"
"[416, 453, 1569.0]","[0.3100208768267223, 2.259714285714286, -0.9850000000000003]"
"[417, 453, 1553.0]","[0.31461377870563667, 2.2094285714285715, -0.9850000000000003]"
"[416, 453, 1558.0]","[0.3100208768267223, 2.225142857142857, -0.9850000000000003]"
"[417, 453, 1559.0]","[0.31461377870563667, 2.2282857142857146, -0.9850000000000003]"
"[416, 453, 1562.0]","[0.3100208768267223, 2.237714285714286, -0.9850000000000003]"
"[415, 453, 1557.0]","[0.30542797494780793, 2.2220000000000004, -0.9850000000000003]"
"[414, 453, 1556.0]","[0.30083507306889357, 2.2188571428571433, -0.9850000000000003]"
"[414, 453, 1552.0]","[0.30083507306889357, 2.2062857142857144, -0.9850000000000003]"
"[414, 452, 1548.0]","[0.30083507306889357, 2.193714285714286, -0.98]"
"[415, 453, 1545.0]","[0.30542797494780793, 2.1842857142857146, -0.9850000000000003]"
"[414, 453, 1533.0]","[0.30083507306889357, 2.146571428571429, -0.9850000000000003]"
"[413, 454, 1545.0]","[0.2962421711899792, 2.1842857142857146, -0.9899999999999998]"
"[412, 454, 1546.0]","[0.29164926931106483, 2.1874285714285713, -0.9899999999999998]"
"[411, 455, 1544.0]","[0.28705636743215024, 2.181142857142857, -0.9950000000000001]"
"[411, 456, 1541.0]","[0.28705636743215024, 2.1717142857142857, -1.0]"
"[410, 456, 1539.0]","[0.28246346555323587, 2.1654285714285715, -1.0]"
"[410, 457, 1521.0]","[0.28246346555323587, 2.108857142857143, -1.005]"
"[410, 457, 1520.0]","[0.28246346555323587, 2.105714285714286, -1.005]"
"[408, 459, 1522.0]","[0.27327766179540713, 2.112, -1.0150000000000001]"
"[405, 460, 1533.0]","[0.2594989561586638, 2.146571428571429, -1.02]"
"[402, 462, 1520.0]","[0.2457202505219207, 2.105714285714286, -1.0299999999999998]"
"[399, 460, 1529.0]","[0.2319415448851776, 2.134, -1.02]"
"[397, 458, 1532.0]","[0.22275574112734864, 2.1434285714285712, -1.0100000000000002]"
"[395, 456, 1539.0]","[0.2135699373695199, 2.1654285714285715, -1.0]"
"[394, 454, 1536.0]","[0.20897703549060553, 2.156, -0.9899999999999998]"
"[390, 451, 1522.0]","[0.19060542797494784, 2.112, -0.9750000000000001]"
"[383, 447, 1506.0]","[0.15845511482254704, 2.061714285714286, -0.9550000000000001]"
"[380, 443, 1500.0]","[0.14467640918580393, 2.042857142857143, -0.935]"
"[376, 443, 1486.0]","[0.12630480167014602, 1.998857142857143, -0.935]"
"[370, 443, 1475.0]","[0.09874739039665958, 1.9642857142857144, -0.935]"
"[368, 441, 1471.0]","[0.08956158663883085, 1.951714285714286, -0.9249999999999998]"
"[366, 443, 1479.0]","[0.08037578288100211, 1.9768571428571429, -0.935]"
"[359, 444, 1459.0]","[0.04822546972860131, 1.9140000000000006, -0.94]"
"[356, 443, 1457.0]","[0.034446764091857984, 1.907714285714286, -0.935]"
"[349, 444, 1454.0]","[0.002296450939457184, 1.8982857142857141, -0.94]"
"[347, 444, 1461.0]","[-0.0068893528183715524, 1.9202857142857144, -0.94]"
"[341, 445, 1446.0]","[-0.034446764091857984, 1.8731428571428572, -0.9450000000000003]"
"[338, 443, 1456.0]","[-0.04822546972860131, 1.9045714285714288, -0.935]"
"[334, 445, 1445.0]","[-0.06659707724425878, 1.8700000000000006, -0.9450000000000003]"
"[329, 445, 1448.0]","[-0.08956158663883085, 1.8794285714285714, -0.9450000000000003]"
"[327, 445, 1446.0]","[-0.09874739039665958, 1.8731428571428572, -0.9450000000000003]"
"[322, 443, 1448.0]","[-0.12171189979123176, 1.8794285714285714, -0.935]"
"[319, 444, 1443.0]","[-0.13549060542797497, 1.8637142857142859, -0.94]"
"[316, 442, 1432.0]","[-0.1492693110647182, 1.8291428571428572, -0.9300000000000002]"
"[313, 441, 1459.0]","[-0.1630480167014614, 1.9140000000000006, -0.9249999999999998]"
"[310, 441, 1442.0]","[-0.17682672233820462, 1.8605714285714288, -0.9249999999999998]"
"[306, 443, 1432.0]","[-0.1951983298538622, 1.8291428571428572, -0.935]"
"[304, 443, 1434.0]","[-0.20438413361169094, 1.8354285714285714, -0.935]"
"[301, 445, 1429.0]","[-0.21816283924843427, 1.8197142857142858, -0.9450000000000003]"
"[299, 445, 1437.0]","[-0.22734864300626312, 1.8448571428571428, -0.9450000000000003]"
"[296, 445, 1432.0]","[-0.24112734864300633, 1.8291428571428572, -0.9450000000000003]"
"[295, 445, 1427.0]","[-0.2457202505219207, 1.8134285714285716, -0.9450000000000003]"
"[293, 446, 1430.0]","[-0.25490605427974955, 1.822857142857143, -0.9500000000000002]"
"[292, 445, 1441.0]","[-0.2594989561586639, 1.8574285714285717, -0.9450000000000003]"
"[291, 446, 1433.0]","[-0.2640918580375783, 1.8322857142857147, -0.9500000000000002]"
"[289, 445, 1435.0]","[-0.27327766179540713, 1.8385714285714285, -0.9450000000000003]"
"[290, 446, 1438.0]","[-0.26868475991649277, 1.8480000000000003, -0.9500000000000002]"
"[288, 446, 1426.0]","[-0.2778705636743215, 1.8102857142857145, -0.9500000000000002]"
"[288, 447, 1437.0]","[-0.2778705636743215, 1.8448571428571428, -0.9550000000000001]"
"[287, 447, 1432.0]","[-0.28246346555323587, 1.8291428571428572, -0.9550000000000001]"
"[286, 447, 1425.0]","[-0.28705636743215035, 1.8071428571428574, -0.9550000000000001]"
"[286, 447, 1431.0]","[-0.28705636743215035, 1.8260000000000005, -0.9550000000000001]"
"[283, 445, 1424.0]","[-0.30083507306889357, 1.8040000000000003, -0.9450000000000003]"
"[281, 444, 1426.0]","[-0.3100208768267223, 1.8102857142857145, -0.94]"
"[280, 444, 1416.0]","[-0.3146137787056368, 1.778857142857143, -0.94]"
"[279, 444, 1434.0]","[-0.31920668058455115, 1.8354285714285714, -0.94]"
"[278, 446, 1425.0]","[-0.3237995824634655, 1.8071428571428574, -0.9500000000000002]"
"[275, 448, 1423.0]","[-0.33757828810020873, 1.8008571428571427, -0.96]"
"[276, 446, 1445.0]","[-0.33298538622129437, 1.8700000000000006, -0.9500000000000002]"
"[274, 447, 1441.0]","[-0.3421711899791231, 1.8574285714285717, -0.9550000000000001]"
"[273, 448, 1421.0]","[-0.3467640918580377, 1.7945714285714285, -0.96]"
"[274, 449, 1434.0]","[-0.3421711899791231, 1.8354285714285714, -0.9649999999999999]"
"[271, 448, 1429.0]","[-0.35594989561586643, 1.8197142857142858, -0.96]"
"[271, 449, 1441.0]","[-0.35594989561586643, 1.8574285714285717, -0.9649999999999999]"
"[269, 449, 1420.0]","[-0.3651356993736953, 1.7914285714285714, -0.9649999999999999]"
"[268, 448, 1426.0]","[-0.36972860125260965, 1.8102857142857145, -0.96]"
"[267, 448, 1423.0]","[-0.3743215031315241, 1.8008571428571427, -0.96]"
"[267, 450, 1413.0]","[-0.3743215031315241, 1.7694285714285716, -0.9700000000000002]"
"[267, 449, 1410.0]","[-0.3743215031315241, 1.7600000000000002, -0.9649999999999999]"
"[266, 449, 1409.0]","[-0.3789144050104385, 1.7568571428571427, -0.9649999999999999]"
"[265, 448, 1419.0]","[-0.38350730688935286, 1.7882857142857147, -0.96]"
"[263, 447, 1425.0]","[-0.3926931106471817, 1.8071428571428574, -0.9550000000000001]"
"[261, 449, 1420.0]","[-0.40187891440501045, 1.7914285714285714, -0.9649999999999999]"
"[261, 448, 1423.0]","[-0.40187891440501045, 1.8008571428571427, -0.96]"
"[261, 449, 1426.0]","[-0.40187891440501045, 1.8102857142857145, -0.9649999999999999]"
"[261, 449, 1433.0]","[-0.40187891440501045, 1.8322857142857147, -0.9649999999999999]"
"[261, 449, 1414.0]","[-0.40187891440501045, 1.7725714285714287, -0.9649999999999999]"
"[260, 448, 1410.0]","[-0.4064718162839249, 1.7600000000000002, -0.96]"
"[259, 447, 1412.0]","[-0.4110647181628393, 1.7662857142857145, -0.9550000000000001]"
"[257, 448, 1419.0]","[-0.42025052192066814, 1.7882857142857147, -0.96]"
"[256, 447, 1421.0]","[-0.4248434237995825, 1.7945714285714285, -0.9550000000000001]"
"[254, 448, 1436.0]","[-0.43402922755741125, 1.841714285714286, -0.96]"
"[254, 448, 1417.0]","[-0.43402922755741125, 1.7820000000000005, -0.96]"
"[253, 447, 1422.0]","[-0.4386221294363257, 1.797714285714286, -0.9550000000000001]"
"[252, 447, 1436.0]","[-0.4432150313152401, 1.841714285714286, -0.9550000000000001]"
"[250, 447, 1421.0]","[-0.45240083507306894, 1.7945714285714285, -0.9550000000000001]"
"[249, 447, 1426.0]","[-0.4569937369519833, 1.8102857142857145, -0.9550000000000001]"
"[247, 446, 1427.0]","[-0.46617954070981216, 1.8134285714285716, -0.9500000000000002]"
"[245, 446, 1417.0]","[-0.4753653444676409, 1.7820000000000005, -0.9500000000000002]"
"[242, 446, 1423.0]","[-0.4891440501043842, 1.8008571428571427, -0.9500000000000002]"
